id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
147686,Mes héros,6.098,56,Released,2012-12-10,0,0,False,/yVrn3x6nINL8qeZJttnpyShAIi9.jpg,9780000,,tt2104062,fr,Mes héros,,5.683,/eBTPCobALLrsqLS62Bd5KnHg6Ae.jpg,,Comedy,"Pathé, Malec Productions, Josy Films, Eskwad",France,French,
134394,Barricade,4.6,68,Released,2012-09-25,0,82,False,/2O3Y3QHytKD550kvSBJbbSMKDlA.jpg,0,,tt1861279,en,Barricade,A father's quiet retreat to the woods with his two children turns into a fight for survival.,5.33,/oMktMmt2dmNL7DAfwFTmfIl8Hzk.jpg,Lock. Your. Doors.,Horror,WWE Studios,United States of America,English,supernatural
132313,Ivan the Incredible,5.646,24,Released,2012-04-16,6900000,80,False,/cDRXnHcVzRFUtsBk7f1RDXJOLtg.jpg,0,,tt2322457,da,Gummi T,"Poor Ivan Olsen is plagued by problems bullied at school and constantly pursued by a gang whose greatest pleasure is filling his pants with water. And when Ivan gets home, his dad doesn't have much sympathy for him either because he is crazy about Tarzan and fails to appreciate Ivan's finer qualities. But one day Ivan gets the chance to live up all of his dad's expectations and give the bullies at school a lesson they will never forget. The big question is whether having superpowers makes life any easier?",4.106,/mKdtc8e1BNO3k9kGqTUoOqkJPzo.jpg,From Ordinary Zero to Extarordinary Hero,"Animation, Comedy, Family","Crone Film Produktion, SF Studios",Denmark,Danish,
185363,Ice Cream,3.8,5,Released,1993-04-12,0,13,False,,0,,tt2275284,en,Ice Cream,"This film was shown at Sundance, the MOMA New Directors New Films Fest, and won the grand prize at the Aspen Short Fest.",0.79,,,,,,English,
53172,Henry's Crime,5.7,302,Released,2010-01-14,204940,108,False,/tQX1d11beZc7hL4DEZyiIS3hMpD.jpg,12000000,,tt1220888,en,Henry's Crime,"An aimless man is sent to prison for a crime he did not commit, an ex-con targets the same bank he was sent away for robbing.",9.141,/1i1sDWOZecbUZ4Yp9DG5UiTBBRl.jpg,The real crime is not committing to your dreams.,"Crime, Comedy",Company Films,United States of America,English,"vomit, food poisoning"
49998,Otto's Eleven,5.711,64,Released,2010-12-01,8184947,91,False,/kcNWiRdqqonajepaUim0VmE0Rex.jpg,0,,tt1578128,de,Otto's Eleven,"Otto is a man from a little German island, where he lives together with his friends. He gets his treasure, an expensive painting, stolen by a casino owner and his female assistent, so Otto starts travelling to the main land with his friends. Will he get it back?",4.623,/g2IXELil9YXgR9Vt7b9p0dteONv.jpg,,Comedy,,Germany,German,
52320,Home for Christmas,5.925,20,Released,2010-11-12,0,90,False,/ofA8o5QujoUdjjlIuDpylQqsRaR.jpg,0,,tt1722515,no,Hjem til jul,"Adapted from a series of short stories by Norwegian author Levi Henriksen, Bent Hamers Home for Christmas weaves together the lives of people struggling to find their way home on a Christmas Eve, beneath the colors of the Northern Lights. The plot unfolds during a few afternoon hours on Christmas Eve. The individual stories, which at times intertwine, are set in the small town Skogli. The characters in the stories cover a great range in age and life situations, representing both reconciliation with their own lives and strong frustration. Some show the will to understand and do something about their lives, while others have given up. Deeply tragic and melancholy aspects are mixed with humour and rather frivolous solutions.",4.327,/yr1SNbAdXUyWHl2k3xfEUxfRdCv.jpg,,"Comedy, Drama","Bulbul Films, Filmimperiet Sverige, Pandora Film","Germany, Norway, Sweden","Norwegian, Serbian, English, French","based on novel or book, norway, christmas"
539618,Work,4.5,5,Released,2017-05-14,0,10,False,,0,,tt7379352,en,Work,A young mom questions her choices and identity while raising her daughter on a farm.,0.6,/uJT0tVczy12vW9NDKVPqPLTJjOD.jpg,,"Drama, Romance",,,,
423015,Un consiglio a Dio,5.4,4,Released,2013-05-30,0,0,False,,0,,tt2137880,it,Un consiglio a Dio,,0.6,/xetNSvMlwm87NLqNW9JM2Wtu6fM.jpg,,,,,,
185896,Malaria,7.4,15,Released,2013-01-10,0,6,False,/thaoBLikgnGRcIfN5hM1c82duAf.jpg,0,https://vimeo.com/user1620203,tt2619250,pt,Malária,A young mercenary is hired to kill Death.,1.242,/5O8XNk89gTnLz6NRwJVontpc3va.jpg,,"Action, Animation, Western",Zeeg Productions,Brazil,Portuguese,"assassin, death, murder for hire"
782827,D's Watch,6.571,7,Released,1997-06-10,0,2,False,,0,,tt4824310,en,D's Watch,A meditation on loss,0.6,/ffz642jkfU3HOw7ccG3EXcaXXEP.jpg,,,,,,
113533,TOC TOC,7.5,10,Released,2005-12-13,0,110,False,,0,,tt1294717,fr,TOC TOC,The adventures and misadventures of a group of patients with OCD appointed at the same time.,2.644,/eTvnbhMRpQYDek5wejm5n2P5giV.jpg,,Comedy,,France,French,
9513,Garfield: A Tail of Two Kitties,5.548,1984,Released,2006-06-15,141702264,78,False,/lrUeu7XMNaKJn6v8ps0DHqUE11L.jpg,60000000,,tt0455499,en,Garfield: A Tail of Two Kitties,"Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.",24.915,/osfMaHucgLtHtsMa6TQLTooE3G7.jpg,The Ego has landed.,"Animation, Comedy, Family, Adventure","20th Century Fox, Davis Entertainment, Dune Entertainment, Major Studio Partners, Ingenious Media","United Kingdom, United States of America","English, French","luxury, london, england, cat, mistake in person, wretch, prince, mistaken identity, based on comic, royalty, animal, nobility"
145811,Canary Row,6.5,26,Released,1950-10-07,0,7,False,/5Cwkg6YyoHnfYGqFAP8s378bruh.jpg,0,,tt0042304,en,Canary Row,Sylvester Cat spots Tweety Bird in a San Francisco apartment and tries to gain access but cannot make it past Granny or the cat-hating desk clerk.,2.134,/Mb7eaZs6XqWP6rak1txeilftcJ.jpg,,Animation,"Warner Bros. Pictures, Warner Bros. Cartoons",United States of America,English,"san francisco, california, cartoon, cartoon cat, short film"
180427,Frisco Kid,7.0,6,Released,1935-11-30,0,77,False,/1GMtaTTXTy8gKcjcXU9Ngkj30LC.jpg,0,,tt0026385,en,Frisco Kid,"After a roustabout sailor avoids being shanghaied in 1850s San Francisco, his audacity helps him rise to a position of power in the vice industry of the infamous Barbary Coast.",2.643,/vQSJeYlzFVZAHmqKlmG1CFQIGrD.jpg,He's the two-fisted hero of the square mile of hell the Devil himself disowned!,"Adventure, Romance, Action","The Vitaphone Corporation, Warner Bros. Pictures",United States of America,English,"saloon, san francisco, california, trauma, romantic rivalry, vice, rejection, hanging, treachery, opera house, retribution, rise to power, remorse, ruse, barbary coast, saved from hanging, retaliation, 19th century, shanghaied, vigilante gang"
586742,Dreambuilders,7.6,155,Released,2020-02-06,0,81,False,/mmsw80DQpR0eEJBJvDjLyNimBjL.jpg,0,,tt9855978,da,Drømmebyggerne,"Minna, a young girl, misuses her newfound ability to create and control other people’s dreams to teach her bothersome stepsister a lesson. When her stepsister can no longer wake up, Minna has to enter the dream world to save her.",12.347,/xmCGAiPrtW2EbumW3UGoRUiSP4V.jpg,Where dreams really do come true.,"Animation, Adventure, Family","First Lady Film, Hydralab, Eidnes Studios",Denmark,Danish,
997669,My Neighbor Adolf,6.703,37,Released,2022-11-03,0,96,False,/b9ecj3M8ejGmtYebRq3ZELl2ULg.jpg,0,,tt7175968,en,My Neighbor Adolf,"South America, 1960. A lonely and grumpy Holocaust survivor convinces himself that his new neighbor is none other than Adolf Hitler. Not being taken seriously, he starts an independent investigation to prove his claim, but when the evidence still appears to be inconclusive, Polsky is forced to engage in a relationship with the enemy in order to obtain irrefutable proof.",3.08,/HxAmAtsQVXZuoN1jKH38vIlLz2.jpg,Know our enemy and he will reveal himself.,Drama,"2-Team Productions, Film Produkcja","Israel, Poland","English, Yiddish, Spanish, German",
458331,H-E-L-L-O,6.333,6,Released,2015-03-06,0,11,False,,0,,,en,H-E-L-L-O,H-E-L-L-O translates the famous musical sequence from Stephen Spielberg's Close Encounters of the Third Kind into a greeting for sites around New Orleans loaded with the histories of music and procession.,0.6,/o1dyEDDZ9CnC7lvPIUJLGNv7pFW.jpg,,,,United States of America,,
283004,WWE Battleground 2014,7.2,11,Released,2014-07-20,0,180,False,,0,http://www.wwe.com/shows/wwebattleground,tt3843960,en,WWE Battleground 2014,"Battleground (2014) was a professional wrestling pay-per-view (PPV) event produced by WWE. It took place on July 20, 2014 at the Tampa Bay Times Forum in Tampa, Florida. It was the second event under the Battleground chronology, with the event having originated in 2013. Nine matches (including, for the first time ever, two pre-shows) took place at the event.",1.506,/b5F1FPmpxn2ZBqCDPjMmdROw7z3.jpg,Let Battle Commence,"Drama, Action",,,,"wrestling, wrestler"
160046,Vovka in the Kingdom of Far Far Away,7.2,57,Released,1965-01-01,0,19,False,/arBqcNstvlZieGEt5MbfimWIn8o.jpg,0,,tt0213309,ru,Вовка в Тридевятом царстве,A schoolboy gets into a fairy tale with the help of a librarian and DIY book. But life in the magical land is not as easy as it seems.,2.938,/etyGlB14oiy9NVxUSxQOi0XwAt7.jpg,,"Adventure, Animation, Family, Fantasy",Soyuzmultfilm,Soviet Union,Russian,labor popularization
18142,The Call-up,5.5,34,Released,1979-02-23,7500000,85,False,/o5OvGR2teEZcxtmZs01ZuEHhPUd.jpg,0,,tt0079794,sv,Repmånad eller Hur man gör pojkar av män,"It's time for Jonsson to return to his old regiment to rehearse what he learned during conscription a few years ago. He meets his old friends, platoon leader Larsson and the music loving captain 'Beethoven'. Jonsson and his comrades doesn't take it very serious - but they have a jolly good time. A female journalist follows the exercise to write an article, and gets interested in him. Plot by Mattias Thuresson.",4.786,/kWx9ymAlun2Jm1yWmhjP3k2bq2u.jpg,,Comedy,"Ri-Film, Europa Film, Viking Film",Sweden,Swedish,"military service, reunion, platoon, swedish army, conscripts, signal corps"
175061,The Approach of Autumn,6.9,11,Released,1960-10-01,0,79,False,/dZOTfKZKAO4uVKmroK6d6KizJmX.jpg,0,,tt0053578,ja,秋立ちぬ,"A single mother from the country raising a 6th grade boy comes to Tokyo, leaves the boy to live with his uncle's family, runs a struggling grocery store, and works a local inn. The boy befriends a girl, the daughter of the innkeeper...",2.714,/8sxj11bJ9GiCKGNNhX1BHy1Paby.jpg,,Drama,TOHO,Japan,Japanese,"parent child relationship, slice of life, travel, school, fighting, grocery store"
34867,The Manson Family,5.314,51,Released,1997-10-22,0,95,False,/68yk447RlvnBCHrVBNzqZBaiym8.jpg,0,,tt0118840,en,The Manson Family,"A dramatization of the horrific and notorious Manson Family Murders, in the form of super 8 home movies.",4.627,/eyvCvpFkA9bROmbgEmrTsckfpW0.jpg,You've seen the story through the eyes of the law... Now see it through the eyes of The Manson Family.,"Crime, Drama, History","Mercury Films, Blue Underground",United States of America,English,"cult leader, charles manson"
766208,Jumanji: Level One,6.0,78,Released,2021-01-20,0,23,False,/mTW5ssHIgGvGzAaOJmyxmuHd62j.jpg,0,,tt13249100,en,Jumanji: Level One,"Set in 1869, two children receive a mysterious game after their father goes missing in the jungles of Africa. They unravel both the secret of their father’s disappearance and the origin of Jumanji. See how it all began.",5.621,/mI7sIBqIsCsTjLvuiVVTfvW3FLU.jpg,Go back and start again,"Adventure, Action","Controlled Chaos Enterprises, Sides Studios",,English,
